song_mask,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,followers,popularity_artists,release_year,duration_min,clusters,cluster_label,popularity_songs,name_song
song35596,119432,0.561,0.964,-6.593,0.522,0.0118,3.78e-06,0.875,0.452,160.088,1580927.0,79,2020,1.9905333333333333,0,Rap / spoken word tracks,72,Never Satisfied
song34798,189936,0.953,0.277,-14.465,0.633,0.594,0.0,0.0929,0.361,119.994,241081.0,68,2017,3.1656,0,Rap / spoken word tracks,70,Gentleman
song35118,186000,0.822,0.35,-12.207,0.574,0.0213,0.0,0.0757,0.346,77.528,3657199.0,91,2018,3.1,0,Rap / spoken word tracks,70,Neva Cared
song90483,60109,0.766,0.281,-8.698,0.623,0.814,0.0415,0.0882,0.556,137.246,52697.0,65,2020,1.0018166666666666,0,Rap / spoken word tracks,70,The Chicken Wing Beat
song83268,212531,0.626,0.61,-7.222,0.0322,0.717,0.0,0.952,0.67,144.058,12114.0,58,2020,3.5421833333333335,0,Rap / spoken word tracks,69,Presentinho - Ao Vivo
song34371,189231,0.696,0.57,-9.084,0.557,0.673,3.02e-06,0.098,0.329,76.976,3963793.0,82,2016,3.15385,0,Rap / spoken word tracks,69,Ain't Nobody Takin My Baby
song85173,201399,0.818,0.43,-8.516,0.386,0.163,0.0,0.572,0.862,143.064,6880.0,58,2021,3.35665,0,Rap / spoken word tracks,67,Corn
song41466,224523,0.887,0.879,-5.789,0.875,0.037,0.000144,0.491,0.413,140.048,663625.0,69,2021,3.74205,0,Rap / spoken word tracks,65,VIP in der Psychiatrie
song85174,213786,0.896,0.578,-8.768,0.518,0.742,0.0,0.236,0.934,136.931,19382.0,57,2021,3.5631,0,Rap / spoken word tracks,64,Choppa
song35582,187280,0.835,0.42,-8.508,0.495,0.543,3.52e-06,0.126,0.344,139.997,865358.0,79,2021,3.1213333333333333,0,Rap / spoken word tracks,64,SUICIDE DOORS
